iter	TotalF1	Logloss
0	0.8093502323	0.6906833673
1	0.806468654	0.688235796
2	0.8084856083	0.6858511427
3	0.8054241536	0.6834546788
4	0.8056755546	0.6810846275
5	0.8059182517	0.6787233805
6	0.8055081442	0.6763866135
7	0.8058859486	0.6740821286
8	0.8059246255	0.6717801489
9	0.805545257	0.6694720851
10	0.8053563315	0.6671888591
11	0.80557506	0.6649319026
12	0.8050935521	0.6627091609
13	0.8049713887	0.6604821244
14	0.8048264391	0.6582702627
15	0.8049638935	0.6561099379
16	0.8050414492	0.653961853
17	0.805013547	0.6518574313
18	0.8055353381	0.6497169338
19	0.8052749973	0.6475901795
20	0.8052584904	0.6454992146
21	0.8050106849	0.6434302961
22	0.804598974	0.6413760513
23	0.8046831995	0.639339057
24	0.8047892484	0.6373065006
25	0.8046299576	0.6352999273
26	0.8043600236	0.6333171183
27	0.8044066924	0.6313387472
28	0.8042946562	0.6293791297
29	0.8043089379	0.6274429186
30	0.8044772143	0.6255204507
31	0.8044761984	0.6235809469
32	0.8043875251	0.6216921211
33	0.8043983828	0.6198141037
34	0.8043820324	0.6179729494
35	0.8042839821	0.6161002289
36	0.8044313297	0.6142677357
37	0.8047099408	0.6124719625
38	0.8046265766	0.6106428335
39	0.804577844	0.6088558646
40	0.8044257303	0.6070795609
41	0.8048304863	0.6053404783
42	0.8047000279	0.6035516482
43	0.8046550406	0.601807913
44	0.8049636927	0.6000866535
45	0.8048429713	0.5983576277
46	0.8047425086	0.5966650356
47	0.8048668169	0.5949986772
48	0.8050148294	0.593351323
49	0.8052851532	0.591710232
50	0.805334506	0.5900738652
51	0.8052547905	0.5884431531
52	0.805225031	0.5868246095
53	0.8051897612	0.5852047774
54	0.8052015931	0.5835986885
55	0.8050777343	0.5819957133
56	0.8055360875	0.5804539739
57	0.8055261526	0.5788906892
58	0.8052466607	0.5773304466
59	0.805225031	0.575783804
60	0.8052993862	0.5742764583
61	0.8055780955	0.5727762347
62	0.8056026863	0.5712846006
63	0.8055458016	0.5698016633
64	0.8053950375	0.5683245239
65	0.805424675	0.5668510708
66	0.80545541	0.5654194556
67	0.8054288226	0.5639740973
68	0.8054341651	0.5625544358
69	0.8055308953	0.561125827
70	0.8055881813	0.5597398434
71	0.8056154969	0.5583698577
72	0.8056380288	0.5569851267
73	0.8056530428	0.5556311032
74	0.8056330124	0.5543172354
75	0.8055760228	0.553008414
76	0.8056331654	0.5516737883
77	0.8056585141	0.5503906279
78	0.8056634718	0.5490826654
79	0.8056213283	0.5477790692
80	0.8055170607	0.5464619446
81	0.8055590901	0.5451907379
82	0.8054573498	0.5439033544
83	0.8054177821	0.5427014003
84	0.8054645027	0.5414417894
85	0.8054899431	0.5402009322
86	0.8055095935	0.5390035234
87	0.8056335904	0.5377783062
88	0.8059261026	0.5365570258
89	0.8058370547	0.5353642697
90	0.8055148554	0.534147463
91	0.805893977	0.5329536331
92	0.8060473889	0.5317939465
93	0.8060695503	0.5306132872
94	0.8061116954	0.52944315
95	0.8061240602	0.5283373265
96	0.8059137026	0.5271925282
97	0.8061389347	0.5260648016
98	0.8062130397	0.5249497802
99	0.8061091879	0.5238549083
100	0.8062424239	0.522756708
101	0.8062768441	0.5216963013
102	0.8062547193	0.5206116652
103	0.8061386644	0.5195511154
104	0.8061657034	0.5185147235
105	0.8062573514	0.5174631927
106	0.8063068123	0.516481666
107	0.8063337137	0.5154464194
108	0.8064611369	0.514448716
109	0.8063781373	0.5134214504
110	0.8063260927	0.5124581048
111	0.8064729211	0.5114339529
112	0.8064946433	0.5104622684
113	0.8063751165	0.5094482808
114	0.8063528987	0.5084913057
115	0.8064093586	0.5075654676
116	0.8064190862	0.5066264946
117	0.8063479941	0.5056547386
118	0.8063825963	0.5046855593
119	0.8064368671	0.5037812306
120	0.8065777257	0.5028741461
121	0.8065333499	0.5019235058
122	0.806498945	0.5009946614
123	0.8064323467	0.50007412
124	0.8064227403	0.4991633134
125	0.8063830034	0.4982903721
126	0.8063953401	0.4973739466
127	0.8064670641	0.4965484263
128	0.8064569881	0.4957086976
129	0.8064890517	0.4948228721
130	0.8065186453	0.4939641034
131	0.8064791864	0.493103939
132	0.8064667152	0.4922656777
133	0.8064371217	0.4914160353
134	0.8064963053	0.4905676814
135	0.8065112472	0.4897231927
136	0.8064865854	0.4888957756
137	0.8064249205	0.4880773416
138	0.8063829798	0.4872726151
139	0.8064225773	0.4864596569
140	0.8064029726	0.4856681725
141	0.806338629	0.4849276881
142	0.8063710023	0.4841394605
143	0.8064427662	0.4833568876
144	0.8064007289	0.4825976137
145	0.806418182	0.4818137524
146	0.8063663039	0.4810252385
147	0.8063589643	0.4802465309
148	0.806368849	0.4794901559
149	0.8062403671	0.4787176041
150	0.8063862183	0.4780204249
151	0.8064184179	0.4773285784
152	0.8064160718	0.4765921382
153	0.8063865077	0.4758485043
154	0.8063617688	0.475113424
155	0.8063592941	0.4744138112
156	0.8064112337	0.4737339184
157	0.8064285504	0.4730080002
158	0.8064409639	0.4722993684
159	0.8063493786	0.4716034061
160	0.806391434	0.4709390817
161	0.8064235126	0.4702793741
162	0.8064086075	0.4696386708
163	0.8063913634	0.4689866222
164	0.8063988303	0.4683054767
165	0.8063641974	0.4676468428
166	0.8063493843	0.4669884237
167	0.8063568433	0.4663507982
168	0.8064039099	0.4657309601
169	0.8063865597	0.4651047873
170	0.8064509541	0.4645061724
171	0.8064460136	0.4638587048
172	0.8064559261	0.4632363973
173	0.8063865864	0.4626343466
174	0.8063964901	0.4620322959
175	0.8064410357	0.4614144262
176	0.8063816369	0.460817565
177	0.8064435553	0.4602218848
178	0.8064484731	0.4596464257
179	0.8064385819	0.4590829918
180	0.8064782278	0.4584768253
181	0.806458374	0.4579016167
182	0.8064187679	0.4573427997
183	0.8063444819	0.4568050985
184	0.8063915542	0.4562749131
185	0.8063816493	0.4557077929
186	0.8063295982	0.4551195211
187	0.8062899648	0.4545669315
188	0.8061785285	0.4540140555
189	0.8060520727	0.4534701269
190	0.8061040538	0.4529551521
191	0.8060941341	0.4524035287
192	0.806116453	0.4518958549
193	0.8061586055	0.45135436
194	0.8063221253	0.4508542019
195	0.8063023036	0.4503329639
196	0.8065154445	0.4498270079
197	0.8066319255	0.4493390541
198	0.8065427042	0.4488153824
199	0.8065848404	0.448288418
200	0.8064311739	0.4478163189
201	0.8063170814	0.4473145503
202	0.8064210325	0.4468142849
203	0.8064930051	0.4463384637
204	0.8063564151	0.4458705162
205	0.8063885933	0.4453711813
206	0.8064232581	0.4448626843
207	0.8063686375	0.4443704
208	0.8063734972	0.4439193809
209	0.80634121	0.4434518629
210	0.8062815799	0.4429982669
211	0.806234395	0.4425501826
212	0.8062568129	0.4421040309
213	0.8063537665	0.4416632834
214	0.806366042	0.4411863527
215	0.8063783502	0.4407345462
216	0.8062839515	0.4402784808
217	0.8062712943	0.4398472891
218	0.8063508046	0.43939695
219	0.8063857868	0.4389706973
220	0.8063881475	0.4385260129
221	0.8063084742	0.4380636844
222	0.8062363287	0.4376467011
