iter	Passed	Remaining
0	11	113671
1	21	109875
2	30	100350
3	38	95904
4	46	93068
5	54	91318
6	62	89871
7	71	89101
8	79	88262
9	87	87670
10	96	87220
11	104	86903
12	112	86638
13	121	86452
14	129	86221
15	138	86273
16	146	86175
17	154	85950
18	163	85787
19	171	85660
20	179	85532
21	188	85288
22	197	85508
23	205	85615
24	214	85650
25	223	85577
26	231	85496
27	239	85423
28	248	85418
29	256	85362
30	265	85298
31	273	85229
32	281	85115
33	290	85074
34	298	85014
35	306	84905
36	315	84832
37	323	84768
38	331	84702
39	339	84603
40	348	84612
41	356	84583
42	365	84532
43	373	84539
44	382	84527
45	390	84496
46	398	84417
47	406	84344
48	415	84304
49	423	84254
50	431	84203
51	439	84141
52	448	84081
53	456	84082
54	464	84034
55	473	84008
56	481	83950
57	489	83900
58	497	83861
59	505	83802
60	513	83746
61	522	83701
62	530	83669
63	538	83633
64	546	83585
65	554	83533
66	563	83498
67	571	83474
68	579	83454
69	588	83416
70	596	83373
71	604	83345
72	613	83370
73	621	83330
74	629	83301
75	637	83266
76	645	83233
77	653	83187
78	662	83221
79	671	83208
80	679	83251
81	688	83215
82	696	83192
83	704	83162
84	712	83141
85	721	83160
86	729	83128
87	737	83097
88	745	83054
89	754	83029
90	762	83006
91	770	82994
92	778	82963
93	787	83001
94	796	83000
95	804	82997
96	812	82966
97	821	83018
98	830	83037
99	838	83037
100	847	83046
101	855	83048
102	864	83059
103	873	83098
104	881	83114
105	890	83119
106	899	83130
107	907	83146
108	916	83150
109	924	83157
110	933	83163
111	942	83195
112	951	83208
113	959	83230
114	968	83225
115	976	83243
116	985	83240
117	994	83250
118	1002	83266
119	1011	83287
120	1019	83271
121	1028	83246
122	1036	83231
123	1044	83203
124	1052	83176
125	1061	83157
126	1069	83140
127	1078	83151
128	1086	83141
129	1094	83113
130	1103	83109
131	1111	83110
132	1120	83114
133	1128	83111
134	1137	83094
135	1146	83120
136	1154	83126
137	1163	83114
138	1172	83149
139	1180	83121
140	1189	83158
141	1197	83150
142	1206	83147
143	1214	83137
144	1223	83129
145	1231	83098
146	1239	83066
147	1247	83050
148	1255	83025
149	1263	83001
150	1272	82981
151	1280	82953
152	1288	82943
153	1297	82940
154	1305	82902
155	1313	82885
156	1321	82860
157	1329	82844
158	1338	82820
159	1346	82792
160	1354	82764
161	1362	82742
162	1370	82721
163	1378	82705
164	1387	82691
165	1395	82669
166	1403	82648
167	1411	82635
168	1420	82615
169	1428	82588
170	1436	82571
171	1444	82547
172	1452	82524
173	1461	82504
174	1469	82478
175	1477	82470
176	1485	82444
177	1493	82429
178	1502	82415
179	1510	82395
180	1518	82374
181	1526	82355
182	1534	82333
183	1542	82310
184	1551	82305
185	1559	82284
186	1567	82272
187	1575	82250
188	1584	82235
189	1592	82207
190	1601	82253
191	1610	82250
192	1618	82237
193	1626	82224
194	1634	82205
195	1643	82222
196	1653	82257
197	1661	82257
198	1670	82255
199	1678	82260
